,User_Addr,Class,Eyes,Ears,Back,Mouth,Horn,Tail
173,0xdf0efd6173c36fe561b0c1939cf55d6bb9b89da0,Dusk,Puppy,Friezard,Green Thorns,Tiny Turtle,Kestrel,Hot Butt
174,0x85cf3aa6a1aef330cbed9a6814f576930421c737,Aquatic,Gero,Bubblemaker,Sponge,Hungry Bird,Cuckoo,Navaga
175,0x85cf3aa6a1aef330cbed9a6814f576930421c737,Plant,Telescope,Sakura,Sponge,Mosquito,Rose Bud,Ranchu
176,0x85cf3aa6a1aef330cbed9a6814f576930421c737,Beast,Zeal,Nyan,Ronin,Goda,Imp,Nut Cracker
177,0x03004c4892e3481c3f6fd9134156328e5c731818,Plant,Confused,Sakura,Pumpkin,Serious,Cactus,Yam
178,0x03004c4892e3481c3f6fd9134156328e5c731818,Aquatic,Confused,Peace Maker,Bone Sail,Risky Fish,Pliers,Nimo
179,0x03004c4892e3481c3f6fd9134156328e5c731818,Reptile,Clear,Friezard,Bone Sail,Tiny Turtle,Incisor,Grass Snake
180,0xae28687060ddf1cdeb0184906c7b0e536a86d3f6,Bug,Neo,Innocent Lamb,Bone Sail,Square Teeth,Antenna,Fish Snack
181,0xae28687060ddf1cdeb0184906c7b0e536a86d3f6,Reptile,Blossom,Leafy,Tri Spikes,Kotaro,Antenna,Tiny Dino
182,0xae28687060ddf1cdeb0184906c7b0e536a86d3f6,Plant,Papi,Clover,Snail Shell,Cute Bunny,Antenna,Carrot
183,0x824dc08641704bed606d19f6be911d427cf59669,Reptile,Topaz,Curved Spine,Pigeon Post,Tiny Turtle,Scaly Spear,Wall Gecko
184,0x824dc08641704bed606d19f6be911d427cf59669,Aquatic,Blossom,Inkling,Blue Moon,Risky Fish,Scaly Spear,Nimo
185,0x824dc08641704bed606d19f6be911d427cf59669,Plant,Papi,Rosa,Pumpkin,Serious,Cactus,Hot Butt
186,0x17f8882d451ebc7df673f6ca1620cadf8832988f,Reptile,Topaz,Bubblemaker,Snail Shell,Tiny Turtle,Lagging,Thorny Caterpillar
187,0x17f8882d451ebc7df673f6ca1620cadf8832988f,Plant,Papi,Clover,Pumpkin,Serious,Leaf Bug,Cattail
188,0x17f8882d451ebc7df673f6ca1620cadf8832988f,Reptile,Tricky,Innocent Lamb,Tri Spikes,Tiny Turtle,Incisor,Thorny Caterpillar
189,0xd8ec7508a7681c5450232402fbe5f6bffed75ce0,Aquatic,Clear,Inkling,Goldfish,Risky Fish,Dual Blade,Nimo
190,0xd8ec7508a7681c5450232402fbe5f6bffed75ce0,Plant,Papi,Lotus,Pumpkin,Serious,Cactus,Hot Butt
191,0xd8ec7508a7681c5450232402fbe5f6bffed75ce0,Plant,Puppy,Clover,Bidens,Herbivore,Beech,Gravel Ant
192,0xb5f51063ddfc8483c05af466e2ab019157798817,Reptile,Clear,Belieber,Tri Spikes,Toothless Bite,Bumpy,Grass Snake
193,0xb5f51063ddfc8483c05af466e2ab019157798817,Reptile,Gecko,Pogona,Tri Spikes,Toothless Bite,Arco,Grass Snake
194,0xb5f51063ddfc8483c05af466e2ab019157798817,Plant,Blossom,Lotus,Tri Spikes,Serious,Leaf Bug,Yam
195,0x9ca23f836c8fc5c663e7b23a955afc182a6ca504,Bird,Mavis,Early Bird,Origami,Peace Maker,Eggshell,Post Fight
196,0x9ca23f836c8fc5c663e7b23a955afc182a6ca504,Plant,Papi,Clover,Pumpkin,Serious,Cactus,Carrot
197,0x9ca23f836c8fc5c663e7b23a955afc182a6ca504,Beast,Mavis,Curly,Hero,Nut Cracker,Dual Blade,Nut Cracker
198,0xa1ca8c1f46fecfa8f9fa7945fe2bc9023a3f4638,Bird,Mavis,Pink Cheek,Pigeon Post,Peace Maker,Eggshell,Post Fight
199,0xa1ca8c1f46fecfa8f9fa7945fe2bc9023a3f4638,Beast,Robin,Pink Cheek,Risky Beast,Goda,Dual Blade,Hare
200,0xa1ca8c1f46fecfa8f9fa7945fe2bc9023a3f4638,Plant,Confused,Rosa,Watering Can,Serious,Beech,Carrot
201,0x411cca1928c13fdec7ff9f1cd3ff2914780b98a9,Plant,Topaz,Tassels,Shiitake,Silence Whisper,Bamboo Shoot,Yam
202,0x411cca1928c13fdec7ff9f1cd3ff2914780b98a9,Aquatic,Lucas,Zen,Sponge,Square Teeth,Cactus,Thorny Caterpillar
203,0x411cca1928c13fdec7ff9f1cd3ff2914780b98a9,Plant,Kotaro?,Innocent Lamb,Snail Shell,Serious,Rose Bud,Yam
204,0x379d6e28132910c2485053c8d11d9368f7240808,Beast,Little Owl,Puppy,Hero,Axie Kiss,Little Branch,Hare
205,0x379d6e28132910c2485053c8d11d9368f7240808,Bird,Mavis,Owl,Pigeon Post,Little Owl,Eggshell,Post Fight
206,0x379d6e28132910c2485053c8d11d9368f7240808,Plant,Papi,Sakura,Watering Can,Serious,Cactus,Hot Butt
207,0x4e2f8fe642f1113a629a86ef7877177bb444a880,Reptile,Topaz,Curved Spine,Shiitake,Tiny Turtle,Cerastes,Grass Snake
208,0x4e2f8fe642f1113a629a86ef7877177bb444a880,Plant,Nerdy,Rosa,Pumpkin,Serious,Leaf Bug,Yam
209,0x4e2f8fe642f1113a629a86ef7877177bb444a880,Reptile,Clear,Curly,Tri Spikes,Tiny Turtle,Incisor,Hare
210,0x08cd4334345cda78031969026fa992f6918db3ef,Plant,Confused,Sakura,Pumpkin,Serious,Leaf Bug,Hot Butt
211,0x08cd4334345cda78031969026fa992f6918db3ef,Aquatic,Clear,Inkling,Goldfish,Risky Fish,Oranda,Nimo
212,0x08cd4334345cda78031969026fa992f6918db3ef,Bird,Sleepless,Early Bird,Pigeon Post,Peace Maker,Cuckoo,Hare
213,0x70b5340fd9e743cab7d09050ddd82353355fc341,Mech,Little Owl,Curly,Hero,Nut Cracker,Dual Blade,Hare
214,0x70b5340fd9e743cab7d09050ddd82353355fc341,Bird,Mavis,Peace Maker,Pigeon Post,Doubletalk,Eggshell,Post Fight
215,0x70b5340fd9e743cab7d09050ddd82353355fc341,Plant,Confused,Lotus,Watering Can,Serious,Beech,Hot Butt
216,0x111896c3134929d2170ed95b7ef8c98223f7930e,Plant,Cucumber Slice,Lotus,Pumpkin,Serious,Leaf Bug,Yam
217,0x111896c3134929d2170ed95b7ef8c98223f7930e,Reptile,Topaz,Zen,Tri Spikes,Tiny Turtle,Cerastes,Grass Snake
218,0x111896c3134929d2170ed95b7ef8c98223f7930e,Dusk,Clear,Gill,Snail Shell,Tiny Turtle,Lagging,Thorny Caterpillar
219,0xa3d66a40f971bbbbabc8d018bffe13cfda9773a9,Dusk,Clear,Innocent Lamb,Goldfish,Nut Cracker,Bumpy,Nut Cracker
220,0xa3d66a40f971bbbbabc8d018bffe13cfda9773a9,Plant,Cucumber Slice,Lotus,Pumpkin,Serious,Cactus,Cattail
221,0xa3d66a40f971bbbbabc8d018bffe13cfda9773a9,Aquatic,Sleepless,Gill,Sandal,Risky Fish,Incisor,Nimo
222,0x0fe51484e7a8bfb3b1be4b827f7c623b9a4e9e6f,Reptile,Clear,Pink Cheek,Tri Spikes,Tiny Turtle,Incisor,Thorny Caterpillar
